Tempo;Forca Motriz;Tracao;Energia
44,7848538;5000;5000;0,2603801299
44,786678;5000;5000;0,2603801299
44,7886773;5000;5000;0,2603801299
44,7906655;5000;5000;0,2603801299
44,7926671;5000;5000;0,2603801299
44,7948599;5000;5000;0,2603801299
44,7967878;5000;5000;0,2603801299
44,7987857;5000;5000;0,2603801299
44,8008075;5000;5000;0,2603801299
44,8027899;5000;5000;0,2603801299
44,80489;5000;5000;0,2603801299
44,8068881;5000;5000;0,2603801299
44,8094466;5000;5000;0,2603801299
44,8114025;5000;5000;0,2603801299
44,8139864;5000;5000;0,2603801299
44,816948;5000;5000;0,2603801299
44,818931;5000;5000;0,2603801299
44,8209303;5000;5000;0,2603801299
44,8235284;5000;5000;0,2603801299
44,8254544;5000;5000;0,2603801299
44,827499;5000;5000;0,2603801299
44,8294955;5000;5000;0,2603801299
44,8314526;5000;5000;0,2603801299
44,8335721;5000;5000;0,2603801299
44,8365722;5000;5000;0,2603801299
44,8385293;5000;5000;0,2603801299
44,8407197;5000;5000;0,2603801299
44,8436088;5000;5000;0,2603801299
44,8461161;5000;5000;0,2603801299
44,8481591;5000;5000;0,2603801299
44,8500488;5000;5000;0,2603801299
44,8520463;5000;5000;0,2603801299
44,8548689;5000;5000;0,2603801299
44,8565754;5000;5000;0,2603801299
44,8585714;5000;5000;0,2603801299
44,8606222;5000;5000;0,2603801299
44,8625756;5000;5000;0,2603801299
44,8651937;5000;5000;0,2603801299
44,8711012;5000;5000;0,2603801299
44,8736831;5000;5000;0,2603801299
44,8767299;5000;5000;0,2603801299
44,8786336;5000;5000;0,2603801299
44,8806838;5000;5000;0,2603801299
44,8826874;5000;5000;0,2603801299
44,8848616;5000;5000;0,2603801299
44,8878604;5000;5000;0,2603801299
44,8898559;5000;5000;0,2603801299
44,8918577;5000;5000;0,2603801299
44,8939288;5000;5000;0,2603801299
44,8963977;5000;5000;0,2603801299
44,8988266;5000;5000;0,2603801299
44,9011195;5000;5000;0,2603801299
44,9036796;5000;5000;0,2603801299
44,9060323;5000;5000;0,2603801299
44,9082339;5000;5000;0,2603801299
44,911133;5000;5000;0,2603801299
44,9134923;5000;5000;0,2603801299
44,9165206;5000;5000;0,2603801299
44,9195049;5000;5000;0,2603801299
44,9225272;5000;5000;0,2603801299
44,9250185;5000;5000;0,2603801299
44,928024;5000;5000;0,2603801299
44,9310043;5000;5000;0,2603801299
44,9335515;5000;5000;0,2603801299
44,9355658;5000;5000;0,2603801299
44,9385659;5000;5000;0,2603801299
44,941563;5000;5000;0,2603801299
44,9450671;5000;5000;0,2603801299
44,9470604;5000;5000;0,2603801299
44,9500839;5000;5000;0,2603801299
44,9535937;5000;5000;0,2603801299
44,9555768;5000;5000;0,2603801299
44,9585747;5000;5000;0,2603801299
44,9619394;5000;5000;0,2603801299
44,9644243;5000;5000;0,2603801299
44,9724337;5000;5000;0,2603801299
44,9748801;5000;5000;0,2603801299
44,9779674;5000;5000;0,2603801299
44,979873;5000;5000;0,2603801299
44,9818745;5000;5000;0,2603801299
44,9838775;5000;5000;0,2603801299
44,986395;5000;5000;0,2603801299
44,9883903;5000;5000;0,2603801299
44,9903831;5000;5000;0,2603801299
44,9923867;5000;5000;0,2603801299
44,9948963;5000;5000;0,2603801299
44,9969111;5000;5000;0,2603801299
44,9989042;5000;5000;0,2603801299
45,0008924;5000;5000;0,2603801299
45,0034512;5000;5000;0,2603801299
45,0064541;5000;5000;0,2603801299
45,0083993;5000;5000;0,2603801299
45,0109234;5000;5000;0,2603801299
45,0134216;5000;5000;0,2603801299
45,0164232;5000;5000;0,2603801299
45,0184431;5000;5000;0,2603801299
45,0204297;5000;5000;0,2603801299
